from_node,to_node,relation
advanced_cancer,cancer_pain,result
af,tachycardia,cause
af,hypotension,result
age_elderly,age_frailty,cause
age_elderly,age_swallow,cause
age_elderly,age_delirium,cause
age_elderly,age_adl,result
age_elderly,age_renal,cause
age_elderly,delirium,cause
age_elderly,bone_fragility,cause
age_elderly,fall_risk,cause
age_frailty,fatigue,result
age_renal,urine,result
age_swallow,infection,cause
air_trapping,gas_exchange,cause
air_trapping,hyperinflation,cause
air_trapping,co2_retention,cause
airway_block,ventilation,cause
airway_block,dyspnea,result
airway_obstruction,alveolar_collapse,result
airway_stenosis,ventilation,result
airway_stenosis,atelectasis,result
aki,urine,result
aki,hypotension,cause
aki,electrolyte,cause
alveolar_collapse,atelectasis,result
alveolar_damage,elastic_recoil↓,cause
alzheimers,delirium,result
anaerobic,lactic_acidosis,result
anemia,hypoxia,cause
anemia,fatigue,result
anemia,hb,result
antiprotease↓,alveolar_damage,cause
anxiety,tachycardia,result
aphasia,adl,result
appetite_loss,malnutrition,cause
arrhythmia,tachycardia,result
arrhythmia,hypotension,result
arrhythmia,vf,result
arrhythmia,bradycardia,result
arrhythmia,cardiac_output↓,cause
arthritis,adl,result
aspiration,pn,cause
asthma,airway_block,cause
asthma,ventilation,result
ataxia,adl,result
atelectasis,ventilation,result
atelectasis,pn,cause
atherosclerosis,mi,result
atherosclerosis,stroke,result
atherosclerosis,plaque,cause
atherosclerosis,cerebral_occlusion,cause
back_pain,adl,result
bed_rest,disuse,cause
bed_rest,pn,cause
bed_rest,constipation,cause
bed_rest,dvt,cause
bed_rest,pressure_ulcer,cause
bed_rest,delirium,cause
bed_rest,muscle_atrophy,cause
bed_rest,atelectasis,cause
bed_rest,cough_reflex↓,cause
bone_damage,hip_pain,result
bone_fragility,femoral_neck_fracture,cause
bone_metastasis,bone_pain,result
bone_metastasis,cancer_pain,result
bowel_contents_retention,increased_bowel_pressure,result
bowel_obstruction,constipation,result
bowel_obstruction,abdominal_distension,result
bowel_obstruction,nausea,result
bowel_obstruction,perforation,result
brain_edema,increased_icp,cause
brain_metastasis,consciousness,result
brain_necrosis,motor_deficit,result
brain_necrosis,sensory_deficit,result
brain_necrosis,aphasia,result
brain_necrosis,dysarthria,result
brain_necrosis,visual_deficit,result
brain_necrosis,ataxia,result
